Time,Altitude,Azimuth,Elevation
2026-08-31 21:41:20.976000+00:00,136.8117591310693,-14.816246141276537,-0.0860730629024923
2026-08-31 21:41:21.735917+00:00,136.0237537506679,-14.807310282767304,-0.04864946462334011
2026-08-31 21:41:22.495835+00:00,135.2412301231241,-14.798031041439032,-0.010330126253874548
2026-08-31 21:41:23.255752+00:00,134.46248558684252,-14.788611935073675,0.028200550279077446
2026-08-31 21:41:24.015669+00:00,133.68808962813952,-14.778706174382535,0.06793707673275724
2026-08-31 21:41:24.775586+00:00,132.9197234685207,-14.768640065118802,0.10799430910650544
2026-08-31 21:41:25.535503+00:00,132.15604357952904,-14.758417187731595,0.14831265317195344
2026-08-31 21:41:26.295421+00:00,131.39671971720364,-14.748036040408408,0.18888097789957997
2026-08-31 21:41:27.055338+00:00,130.6417534005437,-14.737493314792857,0.229704410918631
2026-08-31 21:41:27.815255+00:00,129.892494967415,-14.726778469631313,0.27085571099222666
2026-08-31 21:41:28.575172+00:00,129.14826478869935,-14.715891489040189,0.3123073169202857
2026-08-31 21:41:29.335090+00:00,128.40839889263268,-14.704832209245666,0.3540317792930772
2026-08-31 21:41:30.095007+00:00,127.67289883685856,-14.693596910222482,0.39603487769114726
2026-08-31 21:41:30.854924+00:00,126.94278454335593,-14.682176321568505,0.4383748146172796
2026-08-31 21:41:31.614841+00:00,126.21804098943714,-14.670566419046395,0.48105788007498973
2026-08-31 21:41:32.374758+00:00,125.49767030194123,-14.658768518342185,0.5240394235319357
2026-08-31 21:41:33.134676+00:00,124.78167358031217,-14.646778446310947,0.5673259894970136
2026-08-31 21:41:33.894593+00:00,124.07073823064194,-14.63458813803254,0.6109604174589277
2026-08-31 21:41:34.654510+00:00,123.36551783660055,-14.622189439156045,0.6549849579551497
2026-08-31 21:41:35.414428+00:00,122.66467787768319,-14.609585112156253,0.6993367663474779
2026-08-31 21:41:36.174345+00:00,121.96821985078789,-14.59677043811351,0.7440232402467399
2026-08-31 21:41:36.934262+00:00,121.27649756523128,-14.5837385455809,0.7890711321506343
2026-08-31 21:41:37.694179+00:00,120.59083477327134,-14.570476879408773,0.8345607947085709
2026-08-31 21:41:38.454097+00:00,119.90956075406726,-14.556989691280705,0.8804102805308318
2026-08-31 21:41:39.214014+00:00,119.2326767731579,-14.543271672219248,0.926627937324485
2026-08-31 21:41:39.973931+00:00,118.56020173100009,-14.529317253739634,0.9732233366344395
2026-08-31 21:41:40.733848+00:00,117.89413203673065,-14.515109000175357,1.0203176024252334
2026-08-31 21:41:41.493765+00:00,117.23245857326873,-14.500652719104636,1.0678085245882418
2026-08-31 21:41:42.253683+00:00,116.5751827387549,-14.485942362386425,1.115705622598856
2026-08-31 21:41:43.013600+00:00,115.92230590186827,-14.470971689022633,1.164018720234974
2026-08-31 21:41:43.773517+00:00,115.27554434905387,-14.455723916262514,1.2128571964502093
2026-08-31 21:41:44.533434+00:00,114.63350498961006,-14.440200606996342,1.2621525195564336
2026-08-31 21:41:45.293352+00:00,113.99587076415867,-14.424396849748263,1.3118972108699858
2026-08-31 21:41:46.053269+00:00,113.36264302908442,-14.408305550893772,1.3621024839168339
2026-08-31 21:41:46.813186+00:00,112.73520510834362,-14.391910639755508,1.4128625475926864
2026-08-31 21:41:47.573103+00:00,112.11283416268789,-14.375208924624815,1.464147643812871
2026-08-31 21:41:48.333020+00:00,111.49487594878767,-14.358196594228787,1.5159315146941748
2026-08-31 21:41:49.092938+00:00,110.88133193820902,-14.340865495822783,1.5682270672635121
2026-08-31 21:41:49.852855+00:00,110.27324971804023,-14.323200402205941,1.6211121622609634
2026-08-31 21:41:50.612772+00:00,109.6705798701765,-14.305192783547625,1.674599018421894
2026-08-31 21:41:51.372689+00:00,109.072330205217,-14.286839929315477,1.7286412221454337
2026-08-31 21:41:52.132607+00:00,108.47850212632957,-14.26813246366396,1.78325366128272
2026-08-31 21:41:52.892524+00:00,107.88980797921307,-14.249055964520863,1.8384970798565121
2026-08-31 21:41:53.652441+00:00,107.3068730524201,-14.22959597949847,1.894428782577621
2026-08-31 21:41:54.412359+00:00,106.72836635306571,-14.209750853596375,1.9509811209454648
2026-08-31 21:41:55.172276+00:00,106.15428937414009,-14.18950975734748,2.008171309023382
2026-08-31 21:41:55.932193+00:00,105.58501658444573,-14.168858880442173,2.066041898298375
2026-08-31 21:41:56.692110+00:00,105.02173521853518,-14.147693660223979,2.124818609485736
2026-08-31 21:41:57.452027+00:00,104.46207260578404,-14.12395335364289,2.187444651019131
2026-08-31 21:41:58.211945+00:00,103.90809705206846,-14.102013992581306,2.2474661651519217
2026-08-31 21:41:58.971862+00:00,103.35900202367641,-14.079787054515464,2.308004644883247
2026-08-31 21:41:59.731779+00:00,102.81500549047999,-14.057227951603807,2.36914913802395
2026-08-31 21:42:00.491696+00:00,102.27571182182896,-14.033296447211626,2.432369305395796
2026-08-31 21:42:01.251614+00:00,101.74146589296218,-14.009011899414531,2.4962090026954353
2026-08-31 21:42:02.011531+00:00,101.21215189221967,-13.984858971452695,2.559996388305053
